invoice_id,split,label_is_erroneous,label_error_categories,audit_decision,decision_comparison,requires_review,audit_violations,audit_uncertainty,label_expected_total_cents,audit_expected_total_cents,amount_comparison,amount_difference_cents,audit_record_count,label_ambiguity_sensitive
INV-H1-000001,held_aside,0,,review,review_label_correct,True,,service_match_unresolved,2475525,,audit_amount_unresolved,,1,0
INV-H1-000002,development,1,service_date_after_invoice_date,erroneous,true_positive,True,service_date,invalid_date_payability_requires_review|retention_or_payable_quantity_requires_review,2588836,,audit_amount_unresolved,,1,0
INV-H1-000003,development,0,,review,review_label_correct,True,,service_match_unresolved,5777580,,audit_amount_unresolved,,1,0
INV-H1-000004,development,1,unit_price_mismatch|volume_discount_incorrectly_applied,erroneous,true_positive,False,invoice_amount|line_amount|unit_price,,924200,924200,exact,0,1,0
INV-H1-000005,development,0,,correct,true_negative,False,,,573375,573375,exact,0,1,0
INV-H1-000006,development,0,,correct,true_negative,False,,,1746150,1746150,exact,0,1,0
INV-H1-000007,development,0,,correct,true_negative,False,,,2958400,2958400,exact,0,1,0
INV-H1-000008,held_aside,0,,correct,true_negative,False,,,798790,798790,exact,0,1,0
INV-H1-000009,development,0,,correct,true_negative,False,,,2637550,2637550,exact,0,1,0
INV-H1-000010,development,0,,correct,true_negative,False,,,2276950,2276950,exact,0,1,0
INV-H1-000011,development,0,,correct,true_negative,False,,,2533435,2533435,exact,0,1,0
INV-H1-000012,development,0,,review,review_label_correct,True,,service_match_unresolved,901100,,audit_amount_unresolved,,1,0
INV-H1-000013,development,0,,review,review_label_correct,True,,service_match_unresolved,5857340,,audit_amount_unresolved,,1,0
INV-H1-000014,held_aside,0,,correct,true_negative,False,,,1635750,1635750,exact,0,1,0
INV-H1-000015,held_aside,1,daily_cap_exceeded,erroneous,true_positive,False,daily_cap|invoice_amount|line_amount,,1195825,1210600,mismatch,14775,1,0
INV-H1-000016,development,0,,correct,true_negative,False,,,1468550,1468550,exact,0,1,0
INV-H1-000017,held_aside,0,,correct,true_negative,False,,,2482025,2482025,exact,0,1,0
INV-H1-000018,development,0,,correct,true_negative,False,,,3884375,3884375,exact,0,1,0
INV-H1-000019,development,0,,correct,true_negative,False,,,4591275,4591275,exact,0,1,0
INV-H1-000020,development,0,,correct,true_negative,False,,,3303760,3303760,exact,0,1,0
INV-H1-000021,development,0,,review,review_label_correct,True,,service_match_unresolved,3327025,,audit_amount_unresolved,,1,0
INV-H1-000022,held_aside,0,,correct,true_negative,False,,,1347525,1347525,exact,0,1,0
INV-H1-000023,development,0,,correct,true_negative,False,,,2197875,2197875,exact,0,1,0
INV-H1-000024,held_aside,0,,correct,true_negative,False,,,1939625,1939625,exact,0,1,0
INV-H1-000025,held_aside,0,,review,review_label_correct,True,,service_match_unresolved,2658350,,audit_amount_unresolved,,1,0
INV-H1-000026,development,0,,correct,true_negative,False,,,1030950,1030950,exact,0,1,0
INV-H1-000027,development,0,,correct,true_negative,False,,,1326550,1326550,exact,0,1,0
INV-H1-000028,held_aside,0,,correct,true_negative,False,,,3658525,3658525,exact,0,1,0
INV-H1-000029,development,0,,correct,true_negative,False,,,2568375,2568375,exact,0,1,0
INV-H1-000030,development,0,,correct,true_negative,False,,,651525,651525,exact,0,1,0
INV-H1-000031,development,0,,review,review_label_correct,True,,service_match_unresolved,4818309,,audit_amount_unresolved,,1,0
INV-H1-000032,held_aside,0,,review,review_label_correct,True,,service_match_unresolved,5775993,,audit_amount_unresolved,,1,0
INV-H1-000033,development,0,,review,review_label_correct,True,,service_match_unresolved,4719600,,audit_amount_unresolved,,1,0
INV-H1-000034,development,0,,correct,true_negative,False,,,3784280,3784280,exact,0,1,0
INV-H1-000035,held_aside,0,,correct,true_negative,False,,,2663790,2663790,exact,0,1,0
INV-H1-000036,development,1,malformed_service_date|unknown_service,erroneous,true_positive,True,service_date,delivered_quantity_or_duplicate_identity_uncertain|exclusion_presence_uncertain|invalid_date_payability_requires_review|retention_or_payable_quantity_requires_review|service_match_unresolved|volume_discount_uncertain,2836375,,audit_amount_unresolved,,1,0
INV-H1-000037,development,0,,review,review_label_correct,True,,volume_discount_uncertain,2519775,,audit_amount_unresolved,,1,0
INV-H1-000038,held_aside,0,,review,review_label_correct,True,,volume_discount_uncertain,5555200,,audit_amount_unresolved,,1,0
INV-H1-000039,held_aside,0,,review,review_label_correct,True,,service_match_unresolved,1526450,,audit_amount_unresolved,,1,0
INV-H1-000040,development,0,,correct,true_negative,False,,,2436525,2436525,exact,0,1,0
INV-H1-000041,held_aside,0,,review,review_label_correct,True,,volume_discount_uncertain,1860775,,audit_amount_unresolved,,1,0
INV-H1-000042,development,0,,review,review_label_correct,True,,volume_discount_uncertain,5287775,,audit_amount_unresolved,,1,0
INV-H1-000043,development,0,,review,review_label_correct,True,,exclusion_presence_uncertain|retention_or_payable_quantity_requires_review|volume_discount_uncertain,3035675,,audit_amount_unresolved,,1,0
